1070.2,-5.4826,904.39,0.9302,20,-17.84,-0.041587,0,-0.11436,-2,1
1236.7,-5.4211,904.39,0.77827,21,-1.4571,0.071041,-10.767,-0.055931,0,1
1067.3,-5.3405,882.86,0.81833,20,-209.91,0.016957,-10.767,0.031406,-2.5,1
816.86,-5.3872,882.86,0.84108,16,-112.78,-0.0122,-10.767,0.061508,-2,1
841.76,-5.3649,861.33,0.94135,16,-55.775,-0.0084305,-10.767,-0.083809,2.5,1
705.31,-5.4041,861.33,0.67347,21,-162.43,-0.053023,-10.767,0.023349,3,1
516.91,-5.471,839.79,0.98805,22,-86.835,-0.029788,0,0.077446,-1,1
531.64,-5.4637,861.33,0.82836,19,165,0.02958,10.767,-0.11971,-1,1
846.91,-5.4118,861.33,0.74864,20,168.91,-0.030564,0,-0.066449,0.5,1
869.46,-5.5248,861.33,0.69546,20,27.465,-0.040984,0,-0.046205,0.5,1
901.84,-5.4938,861.33,0.65623,21,2.054,0.01445,0,0.038408,0,1
873.57,-5.4959,861.33,0.77227,20,-5.9785,0.094835,-204.57,0.12602,1.5,1
889.89,-5.3041,452.2,0.90826,24,-3.6066,0.11377,-312.23,0.077731,3.5,1
866.36,-5.2683,236.87,0.92774,27,-10.384,-0.048676,-96.899,-0.10482,4.5,1
869.12,-5.4015,258.4,0.69862,33,-88.843,-0.060073,312.23,-0.097703,2,1
688.67,-5.3885,861.33,0.73233,31,5.1548,0.11977,107.67,0.094947,-7.5,1
879.43,-5.1619,473.73,0.88852,18,275.17,0.16095,-193.8,0.08941,-4.5,1
1239,-5.0666,473.73,0.91115,22,-11.81,-0.084757,193.8,-0.10313,1,1
855.81,-5.3314,861.33,0.68225,20,-277.34,-0.20572,183.03,-0.052022,-2.5,1
684.32,-5.478,839.79,0.80711,17,-8.223,-0.10142,-10.767,-0.045188,-1,1
839.36,-5.5343,839.79,0.59188,18,111.63,-0.051174,-10.767,-0.13396,1,1
907.58,-5.5804,818.26,0.53918,19,36.873,0.020129,107.67,-0.046359,3.5,1
913.11,-5.494,1055.1,0.49916,25,-41.976,0.075952,107.67,-0.01022,2,1
823.62,-5.4285,1033.6,0.51874,23,-60.57,0.061402,-139.97,0.095754,-2,1
791.97,-5.3712,775.2,0.69067,21,-288.46,-0.04655,-269.17,-0.032465,-1.5,1
246.7,-5.5216,495.26,0.45381,20,-30.992,-0.036233,107.67,-0.045963,3.5,0
729.98,-5.4437,990.53,0.59874,28,233.7,0.037991,247.63,0.13187,1.5,0
714.09,-5.4456,990.53,0.71756,23,-63.445,-0.089775,-21.533,-0.085019,6.5,0
603.09,-5.6232,947.46,0.4287,41,336.08,-0.099859,10.767,-0.15761,11,0
1386.3,-5.6453,1012.1,0.40235,45,492.12,-0.038317,43.066,-0.010623,-1,0
1587.3,-5.6999,1033.6,0.40746,39,15.636,-0.0098623,592.16,-0.014289,-3,0
1417.5,-5.665,2196.4,0.37377,39,16.711,0.029157,43.066,-0.04893,1.5,0
1620.7,-5.6416,1119.7,0.3096,42,28.425,-0.024146,-570.63,0.036474,-3,0
1474.4,-5.7133,1055.1,0.44672,33,236.08,0.022,-53.833,0.078236,-9,0
2092.9,-5.5976,1012.1,0.46607,24,200.58,0.028685,-32.3,0.071168,2,0
1875.5,-5.6559,990.53,0.58906,37,-399.19,-0.081799,-269.17,-0.024426,6.5,0
1294.5,-5.7611,473.73,0.41722,37,-357.33,-0.060314,21.533,-0.11772,2,0
1160.9,-5.7766,1033.6,0.35361,41,-159.69,0.0075144,-10.767,-0.031607,4.5,0
975.17,-5.7461,452.2,0.354,46,-318.84,-0.026132,-430.66,-0.033398,2,0
523.21,-5.8288,172.27,0.28682,45,-273.88,0.0042547,0,0.02404,0.5,0
427.41,-5.7376,452.2,0.40208,47,-23.372,0.06499,247.63,0.050778,-3,0
476.47,-5.6989,667.53,0.38837,39,52.329,0.036166,0,0.052233,-10,0
532.07,-5.6653,452.2,0.50655,27,68.722,0.059171,-107.67,0.029707,1,0
613.91,-5.5805,452.2,0.44779,41,-105.17,-0.058425,118.43,-0.097126,5.5,0
321.74,-5.7821,689.06,0.3123,38,359.8,0.073622,473.73,0.069118,-5,0
1333.5,-5.4333,1399.7,0.58602,31,370.78,0.19252,355.3,0.11984,-2,0
1063.3,-5.3971,1399.7,0.55198,34,-144.94,-0.037494,-516.8,-0.11911,4.5,0
1043.6,-5.5083,366.06,0.3478,40,-214.13,-0.025583,-204.57,-0.052526,4,0
635.04,-5.4482,990.53,0.44693,42,-323.28,0.027389,53.833,0.023357,3,0
397.08,-5.4535,473.73,0.39451,46,278.97,-0.050457,21.533,-0.026393,-0.5,0
1193,-5.5492,1033.6,0.39414,41,594.29,-0.013402,258.4,0.039554,-3.5,0
1585.7,-5.4803,990.53,0.47362,39,-6.8685,0.040104,-10.767,0.028339,-8.5,0
1179.2,-5.469,1012.1,0.45082,24,-379.44,-0.015483,10.767,-0.038609,-5.5,0
826.79,-5.5113,1012.1,0.3964,28,-249.58,0.0017815,0,-0.021149,3,0
680.09,-5.4654,1012.1,0.40852,30,-52.117,-0.15869,-64.6,-0.056353,6,0
722.55,-5.8286,882.86,0.2837,40,214.38,-0.1163,269.17,-0.045745,2.5,0
1108.8,-5.698,1550.4,0.31703,35,-40.461,0.064246,193.8,0.038943,-2.5,0
641.63,-5.7001,1270.5,0.36158,35,-272.47,-0.0013346,-419.9,-0.015582,2.5,0
563.89,-5.7007,710.6,0.28587,40,-50.147,-0.013871,-344.53,0.0030843,-0.5,0
541.34,-5.7279,581.4,0.36775,34,21.237,0.030303,-32.3,0.10921,-2.5,0
606.36,-5.6401,646,0.50428,35,0.44197,0.056516,64.6,0.25399,-10,1
542.22,-5.6149,710.6,0.87573,14,54.765,0.088715,43.066,0.23636,-10,1
715.89,-5.4626,732.13,0.97701,15,24.215,0.060389,32.3,-0.0077774,0.5,1
590.65,-5.4941,775.2,0.86017,15,-26.901,0.042915,32.3,0.0041904,-0.5,1
662.09,-5.3768,796.73,0.98539,14,104.85,0.10598,10.767,0.074982,-0.5,1
800.36,-5.2821,796.73,1.0101,14,-28.03,-0.0032682,-193.8,0.029407,0,1
606.03,-5.3833,409.13,1.0442,14,-57.654,-0.056546,-183.03,-0.0018487,0,1
685.05,-5.3952,430.66,1.0064,14,-13.401,0.038234,10.767,-0.011236,0,1
579.23,-5.3069,430.66,1.0217,14,-94.027,0.0064086,-10.767,0.025359,0,1
497,-5.3824,409.13,1.0572,14,59.401,0.0021102,-10.767,0.066713,0,1
698.03,-5.3026,409.13,1.1552,14,-17.432,-0.0011881,0,-0.010126,0,1
462.13,-5.3848,409.13,1.0369,14,-119.22,-0.013562,10.767,-0.0019591,-1,1
459.59,-5.3298,430.66,1.1512,12,60.906,0.099133,10.767,0.13024,-3,1
583.94,-5.1865,430.66,1.2974,8,9.9609,0.01196,0,0.042129,-0.5,1
479.52,-5.3058,430.66,1.2355,11,-71.777,-0.082197,0,-0.036561,3,1
440.39,-5.3509,430.66,1.2243,14,7.5536,-0.072044,0,-0.009084,1.5,1
494.62,-5.4499,430.66,1.2173,14,71.033,0.013328,0,-0.051529,-1,1
582.45,-5.3242,430.66,1.1212,12,34.311,0.12114,0,-0.047984,-2.5,1
563.25,-5.2077,430.66,1.1214,9,-44.368,4.1674e-05,0,-0.024791,-2,1
493.72,-5.3241,430.66,1.0716,8,-85.638,-0.1263,-10.767,-0.081022,-0.5,1
391.97,-5.4603,409.13,0.95932,8,-84.384,-0.12773,0,-0.078422,7,1
324.95,-5.5796,430.66,0.91478,22,7.0037,-0.036379,0,-0.10417,5,1
405.98,-5.533,409.13,0.75098,18,56.076,-0.0062092,-10.767,-0.050672,-5,1
437.1,-5.592,409.13,0.81344,12,240.26,-0.19666,0,-0.0093059,1.5,1
886.5,-5.9263,409.13,0.73236,21,179.55,-0.067422,0,0.020402,1.5,1
796.2,-5.7269,409.13,0.85424,15,-57.336,0.1563,0,0.041236,-4,1
771.83,-5.6138,409.13,0.81484,13,-64.029,0.034824,0,-0.14483,3,1
668.14,-5.6572,409.13,0.56458,21,-75.808,-0.0046766,0,-0.030835,0.5,1
620.21,-5.6231,409.13,0.75317,14,24.01,0.073632,0,0.053225,-3.5,1
716.16,-5.51,409.13,0.67103,14,20.452,-0.025288,0,-0.12668,4.5,1
661.12,-5.6737,409.13,0.49981,23,185.98,0.046262,183.03,0.15898,0.5,1
1088.1,-5.4174,775.2,0.98899,15,142.85,0.069872,193.8,0.20873,1.5,1
946.82,-5.5339,796.73,0.91728,26,210.01,-0.052147,-183.03,-0.20761,9,1
1508.1,-5.5217,409.13,0.57377,33,721.24,0.0192,107.67,-0.15904,-2.5,1
2389.3,-5.4955,1012.1,0.59921,21,781.9,0.0064227,161.5,-0.019749,-1,1
3071.9,-5.5089,732.13,0.53427,31,216.34,-0.036386,-107.67,0.053465,5,1
2822,-5.5683,796.73,0.70614,31,93,-0.074577,882.86,-0.069498,6,1
3257.9,-5.658,2497.9,0.39527,43,107.8,-0.059026,118.43,-0.19437,3.5,1
3037.6,-5.6864,1033.6,0.31741,38,55.704,0.029451,-872.09,0.12245,-0.5,1
3369.3,-5.5991,753.66,0.64017,42,-92.792,-0.002115,-129.2,0.2093,3,1
2852,-5.6906,775.2,0.73601,44,-376.76,-0.031757,193.8,0.067694,-3,1
2615.8,-5.6627,1141.3,0.77556,36,109.19,-0.040001,150.73,-0.21961,-1.5,1
3070.4,-5.7706,1076.7,0.29679,41,1144.1,0.018223,775.2,-0.1601,4.5,1
4904.1,-5.6262,2691.7,0.45536,45,782.13,-0.0084582,818.26,0.086557,3,1
4634.6,-5.7875,2713.2,0.4699,47,195.88,-0.037351,64.6,0.047392,0.5,1
5295.8,-5.7009,2820.8,0.55015,46,241.61,0.040743,-613.7,-0.031101,-3,1
5117.9,-5.706,1485.8,0.4077,41,-330.8,-0.10083,-667.53,-0.067531,0.5,1
4634.2,-5.9026,1485.8,0.41508,47,102.51,-0.057252,656.76,0.0091786,5,1
5322.9,-5.8205,2799.3,0.42606,51,259.18,0.040249,699.83,-0.033852,1,1
5152.6,-5.8221,2885.4,0.34738,49,102.04,0.023084,43.066,0.024392,-2,1
5527,-5.7744,2885.4,0.47484,47,-164.18,0.030585,-742.9,0.095056,-4.5,1
4824.2,-5.7609,1399.7,0.53749,40,-511.69,0.016722,-796.73,-0.063605,-1.5,1
4503.6,-5.7409,1292,0.34763,44,-280.37,-0.02018,10.767,-0.069143,2,1
4263.5,-5.8013,1421.2,0.39921,44,-74.277,-0.0254,796.73,0.12045,1,1
4355,-5.7917,2885.4,0.58853,46,-106.33,0.0053472,0,0.04314,-3.5,1
4050.8,-5.7906,1421.2,0.48549,37,48.743,0.0069786,-764.43,-0.14867,-2,1
4452.5,-5.7778,1356.6,0.29119,42,-182.68,0.03813,21.533,-0.073257,3.5,1
3685.4,-5.7143,1464.3,0.33897,44,118.81,0.10189,32.3,0.09558,5,1
4690.1,-5.574,1421.2,0.48235,52,113.19,0.063065,-107.67,0.059518,-0.5,1
3911.8,-5.5882,1248.9,0.45801,43,-738.87,-0.050731,-10.767,-0.054324,-4.5,1
3212.4,-5.6754,1399.7,0.37371,43,-1.5948,-0.0097546,86.133,-0.033041,-2.5,1
3908.6,-5.6077,1421.2,0.39193,38,302.86,0.030059,32.3,0.026012,-4,1
3818.1,-5.6153,1464.3,0.42573,35,-61.383,0.036887,10.767,0.11768,1,1
3785.8,-5.5339,1442.7,0.62728,40,104.8,0.055202,-21.533,0.26795,-4.5,1
4027.7,-5.5049,1421.2,0.96163,26,224.54,0.018342,-21.533,0.12836,-5,1
4234.9,-5.4972,1399.7,0.88399,30,-188.57,0.0031297,-10.767,-0.026668,10.5,1
3650.6,-5.4987,1399.7,0.90829,47,-365.34,-0.016947,796.73,-0.037263,12.5,1
3504.2,-5.5311,2993.1,0.80947,55,343.76,0.023481,785.96,-0.027421,4,1
4338.1,-5.4517,2971.6,0.85345,55,190.63,0.02837,-21.533,0.019968,-0.5,1
3885.5,-5.4744,2950,0.8494,54,-223.41,-0.027338,-10.767,0.011806,-0.5,1
3891.3,-5.5064,2950,0.87706,54,107.37,0.020883,-21.533,0.0031856,-0.5,1
4100.2,-5.4326,2907,0.85577,53,125.63,0.00041266,-742.9,-0.052379,-2.5,1
4142.6,-5.5055,1464.3,0.7723,49,-81.366,-0.035086,-732.13,-0.066237,-2,1
3937.5,-5.5028,1442.7,0.7233,49,55.431,-0.035934,-21.533,-0.001922,1.5,1
4253.4,-5.5774,1421.2,0.76846,52,2.5844,-0.019233,785.96,-0.021214,2.5,1
3942.7,-5.5413,3014.6,0.68087,54,-139.69,0.063483,775.2,-0.052006,0.5,1
3974,-5.4504,2971.6,0.66445,53,-37.629,0.010633,10.767,-0.021875,-1,1
3867.4,-5.52,3036.2,0.63712,52,-81.847,-0.016858,21.533,0.0019619,-2,1
3810.3,-5.4842,3014.6,0.66837,49,-391.39,-0.010491,-43.066,-0.10324,0,1
3084.6,-5.541,2950,0.43065,52,-595.31,-0.0082463,-1270.5,-0.095363,1.5,1
2619.7,-5.5007,473.73,0.47765,52,-405.93,0.057213,32.3,-0.02914,1.5,1
2272.8,-5.4266,3014.6,0.37237,55,-400.32,0.046031,0,0.0026365,0,1
1819.1,-5.4086,473.73,0.48292,52,36.532,0.021901,-1270.5,0.11348,-4.5,1
2345.8,-5.3827,473.73,0.59933,46,418.9,0.024055,0,0.024296,-7,1
2656.9,-5.3605,473.73,0.53151,38,-260.94,-0.049137,506.03,-0.1074,1,1
1823.9,-5.481,1485.8,0.38453,48,-240.66,-0.086632,0,-0.065698,2.5,1
2175.6,-5.5337,473.73,0.40011,43,54.18,0.0053768,-43.066,0.06331,3,1
1932.3,-5.4703,1399.7,0.51115,54,-113.59,0.068454,0,0.094267,-1,1
1948.4,-5.3968,473.73,0.58865,41,97.823,0.099489,-473.73,0.1036,-10.5,1
2127.9,-5.2713,452.2,0.71834,33,139.52,0.014163,-10.767,0.028081,-3,1
2227.4,-5.3685,452.2,0.64481,35,66.694,-0.022642,10.767,-0.052572,0.5,1
2261.3,-5.3166,473.73,0.6132,34,-46.17,0.077972,506.03,0.057891,-2.5,1
2135.1,-5.2126,1464.3,0.76059,30,109.84,-0.052711,516.8,0.00038923,-2,1
2481,-5.422,1507.3,0.61398,30,-27.733,-0.091512,-506.03,-0.10552,2,1
2079.6,-5.3956,452.2,0.54956,34,-368.34,0.063399,-10.767,-0.04248,3,1
1744.3,-5.2952,1485.8,0.52902,36,-39.716,-0.013462,516.8,-0.046592,-0.5,1
2000.2,-5.4225,1485.8,0.45637,33,249.09,-0.04687,21.533,0.040857,3,1
2242.5,-5.3889,1528.9,0.61073,42,-10.119,-0.024358,646,0.062138,7,1
1979.9,-5.4712,2777.8,0.58065,47,-298.77,-0.039914,21.533,-0.023611,3,1
1645,-5.4688,1571.9,0.56351,48,-100.62,0.044065,-613.7,-0.038223,-5.5,1
1778.7,-5.3831,1550.4,0.5042,36,99.025,-0.029925,-10.767,0.005583,-8,1
1843,-5.5286,1550.4,0.57467,32,310.93,-0.063923,0,0.019894,2.5,1
2400.6,-5.5109,1550.4,0.54399,41,176.26,0.0046221,21.533,0.010113,1.5,1
2195.5,-5.5194,1593.5,0.5949,35,-234.41,0.03215,10.767,0.064758,-3,1
1931.7,-5.4466,1571.9,0.67351,35,-256.81,0.094451,0,-0.095347,7,1
1681.9,-5.3305,1593.5,0.40421,49,-204.18,0.080529,53.833,-0.11757,4,1
1523.4,-5.2856,1679.6,0.43836,43,153.15,-0.033515,53.833,0.023093,-3,1
1988.2,-5.3975,1701.1,0.45039,43,152.12,-0.070457,-21.533,0.03203,1.5,1
1827.6,-5.4265,1636.5,0.50242,46,-155.71,0.010869,-32.3,0.010956,1.5,1
1676.8,-5.3758,1636.5,0.4723,46,69.988,0.0092954,32.3,0.063445,-3.5,1
1967.6,-5.4079,1701.1,0.62931,39,283.52,-0.067243,32.3,0.029772,5,1
2243.8,-5.5102,1701.1,0.53185,56,-199.9,0.0073374,689.06,-0.064336,9,1
1567.8,-5.3932,3079.2,0.50063,57,26.958,-0.0075222,-10.767,0.023452,-10,1
2297.7,-5.5253,1679.6,0.57875,36,239.2,0.036821,-689.06,0.010226,-7,1
2046.2,-5.3196,1701.1,0.52109,43,-355.74,0.079146,721.36,-0.093223,8,1
1586.3,-5.367,3122.3,0.39231,52,74.887,-0.08223,10.767,-0.070033,2.5,1
2196,-5.4841,1722.7,0.38102,48,430.25,-0.068037,43.066,0.022992,2.5,1
2446.8,-5.5031,3208.4,0.43829,57,-422.21,0.014849,-43.066,0.002586,5,1
1351.6,-5.4544,1636.5,0.38619,58,-528.25,0.04019,-785.96,0.01872,-1,1
1390.3,-5.4227,1636.5,0.47573,55,202.39,0.029849,21.533,0.078196,-5,1
1756.3,-5.3947,1679.6,0.54258,48,-57.769,-0.068258,-581.4,-0.028468,-7,1
1274.7,-5.5592,473.73,0.41879,41,105.71,-0.013332,-21.533,-0.031434,-4,1
1967.7,-5.4213,1636.5,0.47972,40,216.06,0.082848,592.16,0.026884,0,1
1706.8,-5.3935,1658.1,0.47256,41,115.03,0.010008,0,0.086096,-0.5,1
2197.8,-5.4013,1636.5,0.65191,39,-173.46,0.044955,-10.767,0.048361,0.5,1
1359.9,-5.3036,1636.5,0.56928,42,-206.28,-0.0071172,0,-0.068003,3,1
1785.3,-5.4155,1636.5,0.5159,45,-140.11,0.016672,-613.7,0.073021,4.5,1
1079.7,-5.2703,409.13,0.71533,51,-372.56,0.091908,-613.7,0.07113,0.5,1
1040.1,-5.2317,409.13,0.65816,46,-41.032,-0.023446,581.4,-0.01789,-9,1
997.62,-5.3172,1571.9,0.67955,33,-111.29,0.037684,559.86,0.086437,-9,1
817.55,-5.1564,1528.9,0.83104,28,3.1227,0.060867,-527.56,-0.013844,5,1
1003.9,-5.1954,516.8,0.65186,43,-4.477,-0.00016212,-516.8,-0.0084317,3,1
808.6,-5.1567,495.26,0.81417,34,-237.38,0.012859,-129.2,-0.023172,2.5,1
529.1,-5.1697,258.4,0.60552,48,-57.298,-0.11919,-129.2,-0.11845,7,1
694,-5.3951,236.87,0.57726,48,92.036,-0.095952,0,-0.10456,1.5,1
713.17,-5.3616,258.4,0.3964,51,-71.002,0.091848,1367.4,0.01133,3,1
552,-5.2114,2971.6,0.59992,54,-114.96,0.070629,1345.8,0.35056,1.5,1
483.25,-5.2203,2950,1.0975,54,33.312,0.010221,-872.09,0.15381,-0.5,1
618.62,-5.1909,1227.4,0.90754,53,46.818,0.033631,-1335.1,-0.1254,-1.5,1
576.88,-5.1531,279.93,0.84672,51,10.227,0.042812,-355.3,-0.015265,-6,1
639.07,-5.1053,516.8,0.87701,41,206.79,0.16413,118.43,0.19049,-18,1
990.47,-4.8248,516.8,1.2277,15,-90.116,-0.0192,226.1,0.003119,-13,1
458.84,-5.1437,968.99,0.88325,15,-267.02,-0.20747,215.33,-0.070834,1,1
456.44,-5.2398,947.46,1.086,17,-33.747,-0.13712,-10.767,0.047123,1,1
391.35,-5.4179,947.46,0.97749,17,-75.175,-0.14047,10.767,-0.16315,0,1
306.09,-5.5207,968.99,0.75972,17,-95.999,-0.093173,0,-0.17317,0,1
199.35,-5.6043,947.46,0.63116,17,-73.808,-0.10894,-21.533,-0.038544,0,1
158.47,-5.7386,925.93,0.68263,17,-20.354,-0.12196,-43.066,-0.057468,37,1
158.64,-5.8482,861.33,0.51622,91,8.9072,-0.065021,-64.6,-0.072232,29.5,1
176.28,-5.8686,796.73,0.53816,76,-24.357,-0.023685,-193.8,-0.017318,-5,1
109.93,-5.8956,473.73,0.48158,81,22.644,0.066727,-161.5,0.035887,0.5,0
221.57,-5.7352,473.73,0.60994,77,18.248,0.067657,-107.67,0.03906,-7,0
146.43,-5.7603,258.4,0.5597,67,-24.932,0.039126,0,0.039519,-14.5,0
171.71,-5.6569,473.73,0.68898,48,-44.837,-0.011653,96.899,-0.028474,-15,0
56.752,-5.7836,452.2,0.50275,37,-9.2252,0.036851,-10.767,-0.048241,-9.5,0
153.26,-5.5832,452.2,0.5925,29,37.165,0.1413,-10.767,0.03799,-9,0
131.08,-5.501,430.66,0.57873,19,-68.388,-0.024304,0,-0.080826,-3,0
16.484,-5.6318,452.2,0.43084,23,62.513,0.11427,32.3,0.018288,-2,0
256.11,-5.2724,495.26,0.61531,15,94.659,0.15976,32.3,0.064797,-2.5,0
205.8,-5.3123,516.8,0.56044,18,-69.538,-0.030642,86.133,-0.02169,0.5,0
117.03,-5.3337,667.53,0.57193,16,54.818,0.10287,-43.066,0.069146,-0.5,0
315.44,-5.1066,430.66,0.69873,17,81.921,0.13923,-118.43,0.039806,1,0
280.87,-5.0553,430.66,0.65154,18,-7.3238,0.050929,21.533,-0.10239,0.5,0
300.79,-5.0047,473.73,0.49396,18,220.43,0.214,43.066,0.076569,-4.5,0
721.73,-4.6273,516.8,0.80468,9,730.18,0.40818,10.767,0.37812,-4.5,0
1761.2,-4.1883,495.26,1.2502,9,325.44,0.20719,-10.767,0.18956,0,0
1372.6,-4.2129,495.26,1.1838,9,-511.37,-0.22256,-10.767,-0.18892,0,0
738.41,-4.6335,473.73,0.87235,9,-358.04,-0.16166,-10.767,-0.098709,0,0
656.53,-4.5362,473.73,0.98638,9,-71.792,-0.0016054,10.767,0.021287,0,0
594.83,-4.6367,495.26,0.91493,9,-14.536,-0.032472,10.767,-0.0079243,0,0
627.46,-4.6011,495.26,0.97053,9,-209.78,-0.17306,-107.67,-0.16909,1,0
175.26,-4.9828,279.93,0.57675,11,-105.41,-0.13165,-129.2,-0.035776,0,0
416.65,-4.8644,236.87,0.89898,9,170.9,0.018577,107.67,0.19089,-1,0
517.06,-4.9456,495.26,0.95853,9,1.57,-0.042795,118.43,0.028262,0,0
419.79,-4.95,473.73,0.9555,9,68.215,-0.11858,-10.767,-0.15983,0,0
653.49,-5.1828,473.73,0.63887,9,14.344,-0.1818,-10.767,-0.2442,7,0
448.47,-5.3136,452.2,0.4671,23,-102.35,-0.089082,-107.67,0.052422,7,0
448.79,-5.361,258.4,0.74372,23,-16.54,-0.11091,-96.899,0.074723,0.5,0
415.39,-5.5354,258.4,0.61655,24,-55.65,-0.084627,-10.767,-0.049073,5.5,0
337.5,-5.5302,236.87,0.64557,34,-175.96,-0.15586,96.899,-0.086967,14,0
63.479,-5.8472,452.2,0.44262,52,-65.663,-0.094966,86.133,-0.087796,14,0
206.17,-5.7202,409.13,0.46998,62,60.416,0.064505,10.767,0.034409,1,0
184.31,-5.7181,473.73,0.51143,54,7.4105,0.11401,-10.767,0.055482,-19.5,0
220.99,-5.4921,387.6,0.58094,23,81.384,0.22266,-32.3,0.13671,-21,0
347.08,-5.2728,409.13,0.78484,12,77.317,0.19304,0,0.1974,-8,0
375.63,-5.1061,387.6,0.97575,7,40.846,0.13096,0,0.019051,-2,0
428.77,-5.0109,409.13,0.82295,8,84.41,0.082368,10.767,-0.028824,1,0
544.45,-4.9413,409.13,0.91811,9,-63.762,-0.022179,215.33,-0.096238,5,0
301.25,-5.0553,839.79,0.63047,18,-76.091,-0.02644,107.67,-0.049874,2.5,0
392.26,-4.9942,624.46,0.81836,14,6.9474,0.038314,-96.899,0.17266,-3.5,0
315.14,-4.9786,646,0.97579,11,-119.7,-0.071626,-193.8,0.019329,-1,0
152.86,-5.1375,236.87,0.85702,12,-63.886,-0.13189,-204.57,-0.19199,3,0
187.37,-5.2424,236.87,0.59182,17,1.7154,-0.029637,0,-0.16595,-0.5,0
156.29,-5.1967,236.87,0.52512,11,-39.138,0.016902,86.133,-0.12194,-0.5,0
109.09,-5.2086,409.13,0.34795,16,-22.876,-0.033405,53.833,-0.062652,1.5,0
110.54,-5.2635,344.53,0.39982,14,8.7555,-0.018553,-86.133,-0.01966,1.5,0
126.61,-5.2457,236.87,0.30863,19,19.354,-0.021573,43.066,0.0082812,4.5,0
149.25,-5.3067,430.66,0.41638,23,-30.143,-0.078288,43.066,0.0253,1.5,0
66.32,-5.4023,323,0.35923,22,-14.528,0.021638,75.366,0.030243,-1.5,0
120.19,-5.2634,581.4,0.47687,20,30.527,0.080812,-43.066,0.096109,-2.5,0
127.37,-5.2407,236.87,0.55144,17,-46.759,-0.050119,-172.27,-0.022237,-3.5,0
26.673,-5.3636,236.87,0.43239,13,-49.853,-0.091264,172.27,-0.049411,-0.5,0
27.667,-5.4232,581.4,0.45262,16,33.104,0.048112,96.899,0.099828,1.5,0
92.881,-5.2674,430.66,0.63205,16,39.576,0.12643,-21.533,-0.028753,-3.5,0
106.82,-5.1703,538.33,0.39512,9,233.63,0.26576,-86.133,0.048718,-2,0
560.14,-4.7359,258.4,0.72949,12,111.67,0.12022,64.6,0.154,1.5,0
330.15,-4.9299,667.53,0.70312,12,-110.66,-0.14133,204.57,0.016553,0,0
338.82,-5.0186,667.53,0.76259,12,125.92,-0.0023199,-10.767,-0.021355,0,0
582,-4.9345,646,0.66041,12,218.99,0.055423,10.767,-0.088757,0.5,0
776.81,-4.9077,689.06,0.58508,13,145.78,0.027895,-107.67,-0.016778,-1,0
873.57,-4.8787,430.66,0.62685,10,-62.583,-0.1005,53.833,0.07031,0,1
651.64,-5.1087,796.73,0.7257,13,-112.64,-0.12442,193.8,0.13438,2,1
648.28,-5.1276,818.26,0.8956,14,-42.534,0.05821,0,0.036234,0.5,1
566.57,-4.9923,796.73,0.79817,14,-36.236,0.052826,-204.57,1.4813e-05,-0.5,1
575.81,-5.0219,409.13,0.89563,13,24.345,-0.072546,-204.57,-0.015206,0,1
615.26,-5.1374,387.6,0.76775,14,-8.5492,-0.052417,-10.767,0.00055273,0.5,1
558.71,-5.1268,387.6,0.89674,14,-59.839,-0.015049,183.03,-0.028152,0,1
495.58,-5.1675,753.66,0.71145,14,104.39,0.034428,226.1,-0.16299,1,1
767.49,-5.0579,839.79,0.57076,16,398.98,0.17452,-183.03,-0.024516,1,1
1293.6,-4.8185,387.6,0.66242,16,198.16,0.07579,-226.1,0.067168,-0.5,1
1163.8,-4.9063,387.6,0.7051,15,-133.82,-0.10413,183.03,-0.051653,-0.5,1
1025.9,-5.0267,753.66,0.55911,15,206.77,0.011996,258.4,-0.06736,1.5,1
1577.4,-4.8823,904.39,0.57038,18,181.11,0.033596,96.899,0.011762,1.5,1
1388.1,-4.9595,947.46,0.58264,18,52.591,-0.014962,-258.4,-0.017278,-0.5,1
1682.5,-4.9123,387.6,0.53582,17,236.52,0.014144,-75.366,0.020682,-0.5,1
1861.2,-4.9312,796.73,0.624,17,-32.538,-0.079484,236.87,0.050232,-0.5,1
1617.5,-5.0712,861.33,0.63629,16,80.345,-0.027878,53.833,-0.019676,-0.5,1
2021.9,-4.987,904.39,0.58465,16,42.221,0.030177,-43.066,-0.018311,0.5,1
1701.9,-5.0109,775.2,0.59966,17,-97.47,0.015531,-129.2,-0.03199,-1,1
1826.9,-4.9559,646,0.52067,14,185.84,0.089583,-43.066,0.013954,-2,1
2073.6,-4.8317,689.06,0.62757,13,-103.8,0.050741,64.6,0.14836,0,1
1619.3,-4.8545,775.2,0.81739,14,-345.94,-0.050785,43.066,0.1508,0.5,1
1381.7,-4.9333,775.2,0.92916,14,-109.18,-0.082216,0,-0.021063,0,1
1400.9,-5.0189,775.2,0.77526,14,191.42,-0.0077099,10.767,-0.035076,0,1
1764.5,-4.9487,796.73,0.85901,14,-59.254,-0.046322,10.767,-0.0373,0,1
1282.4,-5.1115,796.73,0.70066,14,-312.95,-0.16679,-204.57,-0.046412,0,1
1138.6,-5.2823,387.6,0.76619,14,-58.35,-0.092696,-150.73,-0.049321,0,1
1165.7,-5.2969,495.26,0.60202,14,111.13,0.039697,53.833,-0.032223,-2.5,1
1360.9,-5.2029,495.26,0.70174,9,181.26,0.078154,-10.767,0.064578,-2.5,1
